10,100,1000,10000,100000,1000000
0.0426,0.0623,0.1171,1.1898,6.5375,41.4562
0.0059,0.0675,0.1367,1.0996,6.1133,42.2855
0.0094,0.0768,0.1393,0.7771,6.3875,36.5943
0.0057,0.0616,0.1427,0.7983,5.7443,40.6128
0.0057,0.0637,0.1459,0.9236,5.6935,35.5547
0.0063,0.0494,0.1462,0.9199,6.1479,36.7271
0.0058,0.0444,0.1472,0.8977,5.5332,34.4292
0.0058,0.0433,0.1696,0.9193,5.3801,35.3856
0.0056,0.0347,0.141,0.8758,6.4187,38.2996
0.0071,0.0347,0.1413,0.8772,6.7106,35.2668
0.0066,0.0658,0.144,0.9451,3.5503,36.5865
0.006,0.0411,0.1499,0.8957,3.4329,34.7555
0.006,0.0364,0.1532,0.9018,3.4413,36.1547
0.0057,0.0265,0.1303,0.8925,3.2711,34.5553
0.0057,0.008,0.1475,0.8971,3.4353,35.8756
