10,100,1000,10000,100000,1000000
0.017,0.0101,0.1013,0.7415,4.2317,7.8785
0.0035,0.0092,0.1018,0.7723,4.4983,7.6536
0.0035,0.0091,0.1242,0.7497,1.5964,6.5888
0.0031,0.0089,0.1072,0.7622,1.3733,6.3328
0.0029,0.011,0.113,0.2379,1.2717,7.9692
0.0031,0.0094,0.1127,0.1542,1.4315,7.4047
0.0029,0.0167,0.097,0.1764,0.8517,8.0994
0.0034,0.0117,0.099,0.1603,1.0814,6.0437
0.0033,0.0116,0.1082,0.1657,1.1102,5.0777
0.003,0.0116,0.102,0.1577,1.3592,5.3019
0.0034,0.0115,0.093,0.1704,0.462,7.643
0.0051,0.0116,0.0853,0.1504,0.9842,5.4401
0.0048,0.0114,0.0768,0.1521,0.6561,5.808
0.0031,0.0114,0.0835,0.3038,1.7615,5.8567
0.0027,0.0114,0.0792,0.1442,0.4648,5.3572
